弥生;つ、強い....;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;siro_2;;;
シプセス;あなたたちはこの程度の存在なのですよっ！;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
;シプセスは楓に剣を向け飛びかかった;nasi;nasi;nasi;nasi;nasi;siro_2;;;
;うっ!!...;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;siro_2;;;
;反射的に目を瞑った<br>痛くない...<br>目を開くと目の前に弥生ちゃんがいた;nasi;nasi;nasi;nasi;nasi;siro_2;;;
楓;弥生ちゃん！;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;yayoi_cg1;;;
弥生;楓は彩の為に逃げて..;yukino_off;kaede_off;yayoi_off;tiharu;sipses_off;yayoi_cg1;;;
;弥生ちゃんの身体を剣が貫通している。<br>助けにいかなきゃ。<br>そう思っても身体は動いてくれない。;nasi;nasi;nasi;nasi;nasi;yayoi_cg1;;;
;これは「恐怖」<br>今のシプセスからは前のような優しさは感じられない;nasi;nasi;nasi;nasi;nasi;siro_2;;;
シプセス;人間はいつもそうです！<br>自分の非をすぐに認めようとしない！<br>こうして自分を偽った先に何があると言うのですか！;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
楓;うあああっ!!;yukino_off;kaede;yayoi_off;tiharu_off;sipses_off;siro_2;;;
;シプセスの手は止まらない。<br>そして...弥生の動きが止まった;nasi;nasi;nasi;nasi;nasi;siro_2;;;
シプセス;次は...あなたですよ;yukino_off;kaede_off;yayoi_off;tiharu_off;sipses;siro_2;;;
;私にもう少し力があれば、<br>変えることができたのだろうか。<br>彼を助けることができたのだろうか。;nasi;nasi;nasi;nasi;nasi;siro_2;;;
;最期の言葉は彼には届くことなく....消えた。;nasi;nasi;nasi;nasi;nasi;siro_2;;;
;BAD END;nasi;nasi;nasi;nasi;nasi;siro_2;;;