;「メリークリスマース！！」;yayoi;kaede;yukino;tiharu;sipses;back;
シプセス;「メリー...クリスマス..」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
楓;「シプセスたんはクリスマス初めて？」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
シプセス;「うん...初めて..キラキラしてる..」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
弥生;「シプセスの世界にはクリスマスはないのね」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
楓;「今日は楽しんでね！」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
雪乃;「ほらっシプセスちゃんっ<br>ハジラッイーチキンとかあるよ！」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
千遥;「ケーキもあるからねシプセスちゃん！.」;yayoi_off;kaede_off;yukino_off;tiharu;sipses_off;back;
;12月24日クリスマスパーティーを楽しんでいた;nasi;nasi;nasi;nasi;nasi;back;
シプセス;「チキン...おいひい..」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
楓;「シプセスたんはチキンも初めてなのかな」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
シプセス;「うん...この世界の..食べ物は..始めて」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
シプセス;「ちなみに....鶏肉は....」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
雪乃;「ん！！！うぅぅ....<br>お腹が...痛い...」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
千遥;「雪乃ちゃん大丈夫？？」;yayoi_off;kaede_off;yukino_off;tiharu;sipses_off;back;
弥生;「食べ過ぎなんじゃない？？」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
楓;「急にお腹いたくなったの？？」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
シプセス;「鶏肉は....きちんと加熱しないと...」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
シプセス;「カンピロバクター..<br>サルモネラで...食中毒になる...」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
楓;「あっこのお肉まだ赤いよ！」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
弥生;「うそー、ハジラッイーチキンで食中毒なんて」;yayoi;kaede_off;yukino_off;tiharu_off;sipses_off;back;
雪乃;「痛いよーーーーーあぁーーーー」;yayoi_off;kaede_off;yukino;tiharu_off;sipses_off;back;
千遥;「雪乃ちゃん待ってね今助けるから」;yayoi_off;kaede_off;yukino_off;tiharu;sipses_off;back;
楓;「シプセスたんなんとかなる？」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;
シプセス;「原因は...カンピロバクター...<br>倒せばいい...」;yayoi_off;kaede_off;yukino_off;tiharu_off;sipses;back;
楓;「よし！行くよ！」;yayoi_off;kaede;yukino_off;tiharu_off;sipses_off;back;